state,year,male_under15_deaths,male_15_24_deaths,male_25_34_deaths,male_35_44_deaths,male_45_54_deaths,male_55_64_deaths,male_65plus_deaths,female_under15_deaths,female_15_24_deaths,female_25_34_deaths,female_35_44_deaths,female_45_54_deaths,female_55_64_deaths,female_65plus_deaths
Minnesota,2022,6,80,230,234,176,162,40,2,41,80,96,64,67,13
Mississippi,2022,0,41,89,142,94,63,19,1,14,43,60,49,35,11
Missouri,2022,12,119,349,377,257,206,82,5,54,141,171,123,105,36
Nebraska,2022,2,10,34,32,13,12,6,1,9,18,15,14,8,1
New Hampshire,2022,1,14,78,94,57,58,17,1,4,37,33,28,17,5
New Jersey,2022,2,85,455,547,538,500,167,1,26,120,180,197,200,44
North Carolina,2022,6,185,753,762,596,397,90,8,107,299,328,255,177,39
Ohio,2022,8,168,799,945,736,638,227,6,88,364,476,332,286,64
Oklahoma,2022,3,52,195,211,191,165,64,2,26,91,97,91,75,35
Oregon,2022,4,61,202,240,179,178,72,1,19,79,83,68,72,30
Overall,2022,99,2107,8028,9558,7568,6758,2115,69,934,3145,4137,3289,2821,801
Pennsylvania,2022,14,139,750,953,761,751,217,5,78,301,451,337,299,72
Rhode Island,2022,1,20,67,79,59,64,20,1,2,25,27,35,25,8
Tennessee,2022,9,170,583,743,577,431,117,2,64,237,342,288,191,47
Utah,2022,0,27,77,91,84,67,18,1,6,41,54,59,40,12
Vermont,2022,1,10,40,48,47,24,7,0,1,14,28,22,14,3
Virginia,2022,3,104,406,476,380,329,85,2,49,157,185,155,122,29
