fips,year,count_alldrug,population
06051,2022,10,12978
06053,2018,384,433359
06053,2019,400,433380
06053,2020,365,438390
06053,2021,417,437249
06053,2022,394,432858
06055,2018,115,138620
06055,2019,129,137678
06055,2020,104,137485
06055,2021,130,136206
06055,2022,120,134300
06057,2018,105,99472
06057,2019,94,99648
06057,2020,94,102249
06057,2021,121,103457
06057,2022,85,102293
06059,2018,2515,3175579
06059,2019,2477,3170851
06059,2020,2714,3185516
06059,2021,3210,3161005
06059,2022,2980,3151184
06061,2018,366,392735
06061,2019,300,398918
06061,2020,334,405889
06061,2021,366,412789
06061,2022,357,417772
06063,2018,28,18830
06063,2019,26,19052
06063,2020,19,19749
06063,2021,19,19940
06063,2022,27,19351
06065,2018,2320,2443221
06065,2019,2397,2465569
06065,2020,2694,2422847
06065,2021,2904,2453178
06065,2022,2964,2473902
06067,2018,1543,1539550
06067,2019,1485,1551660
06067,2020,1494,1586465
06067,2021,1771,1588106
06067,2022,1624,1584169
06069,2018,49,61415
06069,2019,75,62803
06069,2020,76,64521
06069,2021,68,66675
06069,2022,64,67579
06071,2018,2125,2165627
06071,2019,2119,2177279
06071,2020,2217,2183239
06071,2021,2582,2192882
06071,2022,2341,2193656
06073,2018,3275,3332483
06073,2019,3061,3330459
06073,2020,3440,3296045
06073,2021,3898,3274954
06073,2022,3490,3276208
06075,2018,1241,879676
06075,2019,1306,878826
06075,2020,1370,870393
06075,2021,1264,811253
06075,2022,1040,808437
06077,2018,705,752590
06077,2019,709,761571
06077,2020,696,780558
06077,2021,830,788140
06077,2022,801,793229
06079,2018,280,283250
06079,2019,297,282728
06079,2020,318,281879
06079,2021,364,279298
06079,2022,301,282013
06081,2018,471,768410
06081,2019,460,764810
06081,2020,464,762511
06081,2021,436,739060
06081,2022,364,729181
06083,2018,515,445137
06083,2019,461,445464
06083,2020,488,448244
06083,2021,600,437434
06083,2022,592,443837
06085,2018,985,1931985
06085,2019,1007,1922411
06085,2020,993,1931026
06085,2021,1046,1886595
06085,2022,957,1870945
06087,2018,319,273713
06087,2019,278,272870
06087,2020,249,270462
06087,2021,281,260495
06087,2022,229,264370
06089,2018,257,179666
06089,2019,221,179645
06089,2020,229,181984
06089,2021,273,181981
06089,2022,309,180930
06091,2018,0,2961
06091,2019,0,2959
06091,2020,0,3228
06091,2021,0,3295
06091,2022,0,3217
06093,2018,81,43624
06093,2019,66,43663
06093,2020,102,43991
06093,2021,93,44026
06093,2022,71,43660
06095,2018,511,445931
06095,2019,503,447434
06095,2020,564,452698
06095,2021,640,450350
06095,2022,583,448747
06097,2018,646,497221
06097,2019,575,492318
06097,2020,676,488281
06097,2021,608,484315
06097,2022,557,482650
06099,2018,617,547855
06099,2019,535,549761
06099,2020,590,553217
06099,2021,832,552851
06099,2022,786,551275
06101,2018,110,96348
06101,2019,91,96910
06101,2020,133,99464
06101,2021,164,99038
06101,2022,143,98503
06103,2018,91,63904
06103,2019,89,65186
06103,2020,70,65682
06103,2021,95,65380
06103,2022,116,65245
06105,2018,17,12598
06105,2019,21,12337
06105,2020,15,16089
06105,2021,29,16061
06105,2022,19,15781
06107,2018,359,464279
06107,2019,374,465751
06107,2020,453,473891
06107,2021,529,476946
06107,2022,522,477544
06109,2018,72,54250
06109,2019,82,54290
06109,2020,73,55374
06109,2021,73,55065
06109,2022,86,54531
06111,2018,858,847222
06111,2019,881,844203
06111,2020,841,843310
06111,2021,1072,839358
06111,2022,1049,832605
06113,2018,181,220082
06113,2019,177,220019
06113,2020,240,216291
06113,2021,244,213039
06113,2022,193,222115
06115,2018,109,77418
06115,2019,99,78549
06115,2020,107,81994
06115,2021,144,83216
06115,2022,146,84310
08001,2018,600,511485
08001,2019,625,516575
08001,2020,680,520479
08001,2021,790,523592
08001,2022,677,527575
08003,2018,26,16235
08003,2019,35,16200
08003,2020,30,16377
08003,2021,32,16563
08003,2022,40,16592
08005,2018,728,652395
08005,2019,718,656051
08005,2020,719,655207
08005,2021,836,656557
08005,2022,757,655808
08007,2018,16,13670
08007,2019,18,13928
08007,2020,0,13425
08007,2021,16,13798
08007,2022,16,14003
08009,2018,0,3587
08009,2019,0,3620
08009,2020,0,3482
08009,2021,0,3487
08009,2022,0,3432
08011,2018,10,5793
08011,2019,11,5578
08011,2020,12,5478
08011,2021,0,5337
08011,2022,0,5399
08013,2018,255,325438
08013,2019,203,326020
08013,2020,203,330922
08013,2021,263,327075
08013,2022,253,327468
08014,2018,75,69431
08014,2019,62,70617
08014,2020,74,74484
08014,2021,65,75375
08014,2022,57,76121
08015,2018,18,20066
08015,2019,18,20319
08015,2020,18,19477
08015,2021,17,19711
08015,2022,20,20223
08017,2018,0,1864
08017,2019,0,1824
08017,2020,0,1744
08017,2021,0,1716
08017,2022,0,1732
08019,2018,0,9552
08019,2019,0,9598
08019,2020,0,9393
08019,2021,0,9445
08019,2022,0,9355
08021,2018,18,8154
08021,2019,14,8169
08021,2020,17,7458
08021,2021,15,7578
08021,2022,14,7579
08023,2018,0,3803
08023,2019,0,3872
08023,2020,17,3501
08023,2021,0,3595
08023,2022,0,3603
08025,2018,0,5886
08025,2019,0,5989
08025,2020,0,5694
08025,2021,0,5731
08025,2022,0,5614
08027,2018,0,4962
08027,2019,0,5119
08027,2020,0,4719
08027,2021,0,5064
08027,2022,0,5335
08029,2018,43,30835
08029,2019,45,31021
08029,2020,15,31051
08029,2021,26,31383
08029,2022,39,31602
08031,2018,937,716340
08031,2019,1002,725508
08031,2020,1034,717556
08031,2021,1151,711323
08031,2022,1080,713252
08033,2018,0,2056
08033,2019,0,2042
08033,2020,0,2332
08033,2021,0,2370
08033,2022,0,2455
08035,2018,231,343780
08035,2019,217,351842
08035,2020,222,360303
08035,2021,271,369825
08035,2022,225,375988
08037,2018,27,55087
08037,2019,33,55183
08037,2020,24,55665
08037,2021,23,55773
08037,2022,25,55285
08039,2018,13,26267
08039,2019,14,26707
08039,2020,14,26207
08039,2021,11,27133
08039,2022,15,27799
08041,2018,778,712746
08041,2019,839,721929
08041,2020,745,732342
08041,2021,884,737228
08041,2022,853,740567
08043,2018,60,48070
08043,2019,58,48009
08043,2020,55,48878
08043,2021,81,49234
08043,2022,53,49621
08045,2018,65,59722
08045,2019,39,60031
08045,2020,47,61792
08045,2021,64,62195
08045,2022,63,62271
08047,2018,0,6131
08047,2019,0,6232
08047,2020,0,5824
08047,2021,0,5899
08047,2022,0,5891
08049,2018,11,15556
08049,2019,0,15748
08049,2020,16,15748
08049,2021,0,15870
08049,2022,0,15769
08051,2018,13,17177
08051,2019,12,17480
08051,2020,13,16945
08051,2021,0,17309
08051,2022,0,17267
08053,2018,0,786
08053,2019,0,789
08053,2020,0,788
08053,2021,0,773
08053,2022,0,775
08055,2018,11,6877
08055,2019,12,6868
08055,2020,18,6827
08055,2021,0,6922
08055,2022,0,7082
08057,2018,0,1403
08057,2019,0,1397
08057,2020,0,1378
08057,2021,0,1357
08057,2022,0,1302
08059,2018,642,580027
08059,2019,630,582800
08059,2020,690,583050
