state_code,month,year,monthly_state_population
GA,1,2019,10564277.00
GA,2,2019,10573134.67
GA,3,2019,10581992.33
GA,4,2019,10590850.00
GA,5,2019,10599707.67
GA,6,2019,10608565.33
GA,7,2019,10617423.00
GA,8,2019,10626790.08
GA,9,2019,10636157.17
GA,10,2019,10645524.25
GA,11,2019,10654891.33
GA,12,2019,10664258.42
GA,1,2020,10673625.50
GA,2,2020,10682992.58
GA,3,2020,10692359.67
GA,4,2020,10701726.75
GA,5,2020,10711093.83
GA,6,2020,10720460.92
GA,7,2020,10729828.00
GA,8,2020,10734678.08
GA,9,2020,10739528.17
GA,10,2020,10744378.25
GA,11,2020,10749228.33
GA,12,2020,10754078.42
GA,1,2021,10758928.50
GA,2,2021,10763778.58
GA,3,2021,10768628.67
GA,4,2021,10773478.75
GA,5,2021,10778328.83
GA,6,2021,10783178.92
GA,7,2021,10788029.00
GA,8,2021,10798432.92
GA,9,2021,10808836.83
GA,10,2021,10819240.75
GA,11,2021,10829644.67
GA,12,2021,10840048.58
GA,1,2022,10850452.50
GA,2,2022,10860856.42
GA,3,2022,10871260.33
GA,4,2022,10881664.25
GA,5,2022,10892068.17
GA,6,2022,10902472.08
GA,7,2022,10912876.00
GA,8,2022,10923279.92
GA,9,2022,10933683.83
GA,10,2022,10944087.75
GA,11,2022,10954491.67
GA,12,2022,10964895.58
HI,1,2018,1422493.00
HI,2,2018,1422176.33
HI,3,2018,1421859.67
HI,4,2018,1421543.00
HI,5,2018,1421226.33
HI,6,2018,1420909.67
HI,7,2018,1420593.00
HI,8,2018,1420199.58
HI,9,2018,1419806.17
HI,10,2018,1419412.75
HI,11,2018,1419019.33
HI,12,2018,1418625.92
HI,1,2019,1418232.50
HI,2,2019,1417839.08
HI,3,2019,1417445.67
HI,4,2019,1417052.25
HI,5,2019,1416658.83
HI,6,2019,1416265.42
HI,7,2019,1415872.00
HI,8,2019,1418802.92
HI,9,2019,1421733.83
HI,10,2019,1424664.75
HI,11,2019,1427595.67
HI,12,2019,1430526.58
HI,1,2020,1433457.50
HI,2,2020,1436388.42
HI,3,2020,1439319.33
HI,4,2020,1442250.25
HI,5,2020,1445181.17
HI,6,2020,1448112.08
HI,7,2020,1451043.00
HI,8,2020,1450718.92
HI,9,2020,1450394.83
HI,10,2020,1450070.75
HI,11,2020,1449746.67
HI,12,2020,1449422.58
HI,1,2021,1449098.50
HI,2,2021,1448774.42
HI,3,2021,1448450.33
HI,4,2021,1448126.25
HI,5,2021,1447802.17
HI,6,2021,1447478.08
HI,7,2021,1447154.00
HI,8,2021,1446574.17
HI,9,2021,1445994.33
HI,10,2021,1445414.50
HI,11,2021,1444834.67
HI,12,2021,1444254.83
HI,1,2022,1443675.00
HI,2,2022,1443095.17
HI,3,2022,1442515.33
HI,4,2022,1441935.50
HI,5,2022,1441355.67
HI,6,2022,1440775.83
HI,7,2022,1440196.00
HI,8,2022,1439616.17
HI,9,2022,1439036.33
HI,10,2022,1438456.50
HI,11,2022,1437876.67
HI,12,2022,1437296.83
IA,1,2018,3145084.00
IA,2,2018,3145673.00
IA,3,2018,3146262.00
IA,4,2018,3146851.00
IA,5,2018,3147440.00
IA,6,2018,3148029.00
IA,7,2018,3148618.00
IA,8,2018,3149155.67
IA,9,2018,3149693.33
IA,10,2018,3150231.00
IA,11,2018,3150768.67
IA,12,2018,3151306.33
IA,1,2019,3151844.00
IA,2,2019,3152381.67
IA,3,2019,3152919.33
IA,4,2019,3153457.00
IA,5,2019,3153994.67
IA,6,2019,3154532.33
IA,7,2019,3155070.00
IA,8,2019,3158028.42
IA,9,2019,3160986.83
IA,10,2019,3163945.25
IA,11,2019,3166903.67
IA,12,2019,3169862.08
IA,1,2020,3172820.50
IA,2,2020,3175778.92
IA,3,2020,3178737.33
IA,4,2020,3181695.75
IA,5,2020,3184654.17
IA,6,2020,3187612.58
IA,7,2020,3190571.00
IA,8,2020,3191164.17
IA,9,2020,3191757.33
IA,10,2020,3192350.50
IA,11,2020,3192943.67
IA,12,2020,3193536.83
IA,1,2021,3194130.00
IA,2,2021,3194723.17
IA,3,2021,3195316.33
IA,4,2021,3195909.50
IA,5,2021,3196502.67
IA,6,2021,3197095.83
IA,7,2021,3197689.00
IA,8,2021,3197924.67
IA,9,2021,3198160.33
IA,10,2021,3198396.00
IA,11,2021,3198631.67
IA,12,2021,3198867.33
IA,1,2022,3199103.00
IA,2,2022,3199338.67
IA,3,2022,3199574.33
IA,4,2022,3199810.00
IA,5,2022,3200045.67
IA,6,2022,3200281.33
IA,7,2022,3200517.00
IA,8,2022,3200752.67
IA,9,2022,3200988.33
IA,10,2022,3201224.00
IA,11,2022,3201459.67
IA,12,2022,3201695.33
IL,1,2018,12750949.50
IL,2,2018,12746303.08
IL,3,2018,12741656.67
IL,4,2018,12737010.25
IL,5,2018,12732363.83
IL,6,2018,12727717.42
IL,7,2018,12723071.00
IL,8,2018,12718800.17
IL,9,2018,12714529.33
IL,10,2018,12710258.50
IL,11,2018,12705987.67
IL,12,2018,12701716.83
IL,1,2019,12697446.00
IL,2,2019,12693175.17
IL,3,2019,12688904.33
IL,4,2019,12684633.50
IL,5,2019,12680362.67
IL,6,2019,12676091.83
IL,7,2019,12671821.00
IL,8,2019,12681384.25
IL,9,2019,12690947.50
IL,10,2019,12700510.75
IL,11,2019,12710074.00
IL,12,2019,12719637.25
IL,1,2020,12729200.50
IL,2,2020,12738763.75
IL,3,2020,12748327.00
IL,4,2020,12757890.25
IL,5,2020,12767453.50
IL,6,2020,12777016.75
IL,7,2020,12786580.00
IL,8,2020,12778237.42
IL,9,2020,12769894.83
IL,10,2020,12761552.25
IL,11,2020,12753209.67
IL,12,2020,12744867.08
IL,1,2021,12736524.50
IL,2,2021,12728181.92
IL,3,2021,12719839.33
IL,4,2021,12711496.75
IL,5,2021,12703154.17
IL,6,2021,12694811.58
IL,7,2021,12686469.00
IL,8,2021,12677765.92
IL,9,2021,12669062.83
IL,10,2021,12660359.75
IL,11,2021,12651656.67
IL,12,2021,12642953.58
IL,1,2022,12634250.50
IL,2,2022,12625547.42
IL,3,2022,12616844.33
IL,4,2022,12608141.25
IL,5,2022,12599438.17
IL,6,2022,12590735.08
IL,7,2022,12582032.00
IL,8,2022,12573328.92
IL,9,2022,12564625.83
IL,10,2022,12555922.75
IL,11,2022,12547219.67
IL,12,2022,12538516.58
IN,1,2018,6676787.50
IN,2,2018,6679905.75
IN,3,2018,6683024.00
IN,4,2018,6686142.25
IN,5,2018,6689260.50
IN,6,2018,6692378.75
IN,7,2018,6695497.00
IN,8,2018,6698557.17
IN,9,2018,6701617.33
IN,10,2018,6704677.50
IN,11,2018,6707737.67
IN,12,2018,6710797.83
IN,1,2019,6713858.00
IN,2,2019,6716918.17
IN,3,2019,6719978.33
IN,4,2019,6723038.50
IN,5,2019,6726098.67
IN,6,2019,6729158.83
IN,7,2019,6732219.00
IN,8,2019,6736934.00
IN,9,2019,6741649.00
IN,10,2019,6746364.00
IN,11,2019,6751079.00
IN,12,2019,6755794.00
IN,1,2020,6760509.00
IN,2,2020,6765224.00
IN,3,2020,6769939.00
IN,4,2020,6774654.00
IN,5,2020,6779369.00
IN,6,2020,6784084.00
IN,7,2020,6788799.00
IN,8,2020,6790860.08
IN,9,2020,6792921.17
IN,10,2020,6794982.25
IN,11,2020,6797043.33
IN,12,2020,6799104.42
IN,1,2021,6801165.50
IN,2,2021,6803226.58
IN,3,2021,6805287.67
IN,4,2021,6807348.75
IN,5,2021,6809409.83
IN,6,2021,6811470.92
IN,7,2021,6813532.00
IN,8,2021,6815157.42
IN,9,2021,6816782.83
IN,10,2021,6818408.25
IN,11,2021,6820033.67
IN,12,2021,6821659.08
IN,1,2022,6823284.50
IN,2,2022,6824909.92
IN,3,2022,6826535.33
IN,4,2022,6828160.75
IN,5,2022,6829786.17
IN,6,2022,6831411.58
IN,7,2022,6833037.00
IN,8,2022,6834662.42
IN,9,2022,6836287.83
IN,10,2022,6837913.25
IN,11,2022,6839538.67
IN,12,2022,6841164.08
KS,1,2018,2910038.50
KS,2,2018,2910258.58
KS,3,2018,2910478.67
KS,4,2018,2910698.75
KS,5,2018,2910918.83
KS,6,2018,2911138.92
KS,7,2018,2911359.00
KS,8,2018,2911521.92
KS,9,2018,2911684.83
KS,10,2018,2911847.75
KS,11,2018,2912010.67
KS,12,2018,2912173.58
KS,1,2019,2912336.50
KS,2,2019,2912499.42
KS,3,2019,2912662.33
KS,4,2019,2912825.25
KS,5,2019,2912988.17
KS,6,2019,2913151.08
KS,7,2019,2913314.00
KS,8,2019,2915364.42
KS,9,2019,2917414.83
KS,10,2019,2919465.25
KS,11,2019,2921515.67
KS,12,2019,2923566.08
KS,1,2020,2925616.50
KS,2,2020,2927666.92
KS,3,2020,2929717.33
KS,4,2020,2931767.75
KS,5,2020,2933818.17
KS,6,2020,2935868.58
KS,7,2020,2937919.00
KS,8,2020,2937919.25
KS,9,2020,2937919.50
KS,10,2020,2937919.75
KS,11,2020,2937920.00
KS,12,2020,2937920.25
KS,1,2021,2937920.50
KS,2,2021,2937920.75
KS,3,2021,2937921.00
KS,4,2021,2937921.25
KS,5,2021,2937921.50
KS,6,2021,2937921.75
KS,7,2021,2937922.00
KS,8,2021,2937857.67
KS,9,2021,2937793.33
KS,10,2021,2937729.00
KS,11,2021,2937664.67
KS,12,2021,2937600.33
KS,1,2022,2937536.00
KS,2,2022,2937471.67
KS,3,2022,2937407.33
KS,4,2022,2937343.00
KS,5,2022,2937278.67
KS,6,2022,2937214.33
KS,7,2022,2937150.00
KS,8,2022,2937085.67
KS,9,2022,2937021.33
KS,10,2022,2936957.00
KS,11,2022,2936892.67
KS,12,2022,2936828.33
KY,1,2018,4456710.50
KY,2,2018,4457450.92
KY,3,2018,4458191.33
KY,4,2018,4458931.75
KY,5,2018,4459672.17
KY,6,2018,4460412.58
KY,7,2018,4461153.00
KY,8,2018,4461696.33
KY,9,2018,4462239.67
KY,10,2018,4462783.00
KY,11,2018,4463326.33
KY,12,2018,4463869.67
KY,1,2019,4464413.00
KY,2,2019,4464956.33
KY,3,2019,4465499.67
KY,4,2019,4466043.00
KY,5,2019,4466586.33
KY,6,2019,4467129.67
KY,7,2019,4467673.00
KY,8,2019,4470987.33
KY,9,2019,4474301.67
KY,10,2019,4477616.00
KY,11,2019,4480930.33
KY,12,2019,4484244.67
KY,1,2020,4487559.00
KY,2,2020,4490873.33
KY,3,2020,4494187.67
KY,4,2020,4497502.00
KY,5,2020,4500816.33
KY,6,2020,4504130.67
KY,7,2020,4507445.00
KY,8,2020,4507373.67
KY,9,2020,4507302.33
KY,10,2020,4507231.00
KY,11,2020,4507159.67
KY,12,2020,4507088.33
KY,1,2021,4507017.00
KY,2,2021,4506945.67
KY,3,2021,4506874.33
KY,4,2021,4506803.00
KY,5,2021,4506731.67
KY,6,2021,4506660.33
KY,7,2021,4506589.00
KY,8,2021,4507065.75
KY,9,2021,4507542.50
KY,10,2021,4508019.25
KY,11,2021,4508496.00
KY,12,2021,4508972.75
KY,1,2022,4509449.50
KY,2,2022,4509926.25
KY,3,2022,4510403.00
KY,4,2022,4510879.75
KY,5,2022,4511356.50
KY,6,2022,4511833.25
KY,7,2022,4512310.00
KY,8,2022,4512786.75
KY,9,2022,4513263.50
KY,10,2022,4513740.25
KY,11,2022,4514217.00
KY,12,2022,4514693.75
MI,1,2018,9978593.00
MI,2,2018,9979506.17
MI,3,2018,9980419.33
MI,4,2018,9981332.50
MI,5,2018,9982245.67
MI,6,2018,9983158.83
MI,7,2018,9984072.00
MI,8,2018,9984304.08
MI,9,2018,9984536.17
MI,10,2018,9984768.25
MI,11,2018,9985000.33
MI,12,2018,9985232.42
MI,1,2019,9985464.50
MI,2,2019,9985696.58
MI,3,2019,9985928.67
MI,4,2019,9986160.75
MI,5,2019,9986392.83
MI,6,2019,9986624.92
MI,7,2019,9986857.00
MI,8,2019,9993750.33
MI,9,2019,10000643.67
MI,10,2019,10007537.00
MI,11,2019,10014430.33
MI,12,2019,10021323.67
MI,1,2020,10028217.00
MI,2,2020,10035110.33
MI,3,2020,10042003.67
MI,4,2020,10048897.00
MI,5,2020,10055790.33
MI,6,2020,10062683.67
MI,7,2020,10069577.00
MI,8,2020,10066904.25
MI,9,2020,10064231.50
MI,10,2020,10061558.75
MI,11,2020,10058886.00
MI,12,2020,10056213.25
MI,1,2021,10053540.50
MI,2,2021,10050867.75
MI,3,2021,10048195.00
MI,4,2021,10045522.25
MI,5,2021,10042849.50
MI,6,2021,10040176.75
MI,7,2021,10037504.00
MI,8,2021,10037221.42
MI,9,2021,10036938.83
MI,10,2021,10036656.25
MI,11,2021,10036373.67
MI,12,2021,10036091.08
MI,1,2022,10035808.50
MI,2,2022,10035525.92
MI,3,2022,10035243.33
MI,4,2022,10034960.75
MI,5,2022,10034678.17
MI,6,2022,10034395.58
MI,7,2022,10034113.00
MI,8,2022,10033830.42
MI,9,2022,10033547.83
MI,10,2022,10033265.25
MI,11,2022,10032982.67
MI,12,2022,10032700.08
MN,1,2018,5586239.50
MN,2,2018,5589574.42
MN,3,2018,5592909.33
MN,4,2018,5596244.25
MN,5,2018,5599579.17
MN,6,2018,5602914.08
MN,7,2018,5606249.00
MN,8,2018,5609030.92
MN,9,2018,5611812.83
MN,10,2018,5614594.75
MN,11,2018,5617376.67
MN,12,2018,5620158.58
MN,1,2019,5622940.50
MN,2,2019,5625722.42
MN,3,2019,5628504.33
MN,4,2019,5631286.25
MN,5,2019,5634068.17
MN,6,2019,5636850.08
MN,7,2019,5639632.00
MN,8,2019,5645483.67
MN,9,2019,5651335.33
MN,10,2019,5657187.00
MN,11,2019,5663038.67
MN,12,2019,5668890.33
MN,1,2020,5674742.00
MN,2,2020,5680593.67
MN,3,2020,5686445.33
MN,4,2020,5692297.00
MN,5,2020,5698148.67
MN,6,2020,5704000.33
MN,7,2020,5709852.00
MN,8,2020,5709986.92
MN,9,2020,5710121.83
MN,10,2020,5710256.75
MN,11,2020,5710391.67
MN,12,2020,5710526.58
MN,1,2021,5710661.50
MN,2,2021,5710796.42
MN,3,2021,5710931.33
MN,4,2021,5711066.25
MN,5,2021,5711201.17
MN,6,2021,5711336.08
MN,7,2021,5711471.00
MN,8,2021,5711947.08
MN,9,2021,5712423.17
MN,10,2021,5712899.25
MN,11,2021,5713375.33
MN,12,2021,5713851.42
MN,1,2022,5714327.50
MN,2,2022,5714803.58
MN,3,2022,5715279.67
MN,4,2022,5715755.75
MN,5,2022,5716231.83
MN,6,2022,5716707.92
MN,7,2022,5717184.00
MN,8,2022,5717660.08
MN,9,2022,5718136.17
MN,10,2022,5718612.25
MN,11,2022,5719088.33
MN,12,2022,5719564.42
MO,1,2018,6114146.50
MO,2,2018,6115392.58
MO,3,2018,6116638.67
MO,4,2018,6117884.75
MO,5,2018,6119130.83
MO,6,2018,6120376.92
MO,7,2018,6121623.00
MO,8,2018,6122940.08
MO,9,2018,6124257.17
MO,10,2018,6125574.25
MO,11,2018,6126891.33
MO,12,2018,6128208.42
MO,1,2019,6129525.50
MO,2,2019,6130842.58
MO,3,2019,6132159.67
MO,4,2019,6133476.75
MO,5,2019,6134793.83
MO,6,2019,6136110.92
MO,7,2019,6137428.00
MO,8,2019,6138808.83
MO,9,2019,6140189.67
MO,10,2019,6141570.50
MO,11,2019,6142951.33
MO,12,2019,6144332.17
MO,1,2020,6145713.00
MO,2,2020,6147093.83
MO,3,2020,6148474.67
MO,4,2020,6149855.50
MO,5,2020,6151236.33
MO,6,2020,6152617.17
MO,7,2020,6153998.00
MO,8,2020,6155316.75
MO,9,2020,6156635.50
MO,10,2020,6157954.25
MO,11,2020,6159273.00
MO,12,2020,6160591.75
MO,1,2021,6161910.50
MO,2,2021,6163229.25
MO,3,2021,6164548.00
MO,4,2021,6165866.75
MO,5,2021,6167185.50
MO,6,2021,6168504.25
MO,7,2021,6169823.00
MO,8,2021,6170500.83
MO,9,2021,6171178.67
MO,10,2021,6171856.50
MO,11,2021,6172534.33
MO,12,2021,6173212.17
MO,1,2022,6173890.00
MO,2,2022,6174567.83
MO,3,2022,6175245.67
MO,4,2022,6175923.50
MO,5,2022,6176601.33
MO,6,2022,6177279.17
MO,7,2022,6177957.00
MO,8,2022,6178634.83
MO,9,2022,6179312.67
MO,10,2022,6179990.50
MO,11,2022,6180668.33
MO,12,2022,6181346.17
MS,1,2018,2984765.00
MS,2,2018,2984140.83
MS,3,2018,2983516.67
MS,4,2018,2982892.50
MS,5,2018,2982268.33
MS,6,2018,2981644.17
MS,7,2018,2981020.00
MS,8,2018,2980614.08
MS,9,2018,2980208.17
MS,10,2018,2979802.25
MS,11,2018,2979396.33
MS,12,2018,2978990.42
MS,1,2019,2978584.50
MS,2,2019,2978178.58
MS,3,2019,2977772.67
MS,4,2019,2977366.75
MS,5,2019,2976960.83
MS,6,2019,2976554.92
MS,7,2019,2976149.00
MS,8,2019,2974648.33
MS,9,2019,2973147.67
MS,10,2019,2971647.00
MS,11,2019,2970146.33
MS,12,2019,2968645.67
MS,1,2020,2967145.00
MS,2,2020,2965644.33
MS,3,2020,2964143.67
MS,4,2020,2962643.00
MS,5,2020,2961142.33
MS,6,2020,2959641.67
MS,7,2020,2958141.00
MS,8,2020,2957428.08
MS,9,2020,2956715.17
MS,10,2020,2956002.25
MS,11,2020,2955289.33
MS,12,2020,2954576.42
MS,1,2021,2953863.50
MS,2,2021,2953150.58
MS,3,2021,2952437.67
MS,4,2021,2951724.75
MS,5,2021,2951011.83
MS,6,2021,2950298.92
MS,7,2021,2949586.00
MS,8,2021,2948791.92
MS,9,2021,2947997.83
MS,10,2021,2947203.75
MS,11,2021,2946409.67
MS,12,2021,2945615.58
MS,1,2022,2944821.50
MS,2,2022,2944027.42
MS,3,2022,2943233.33
MS,4,2022,2942439.25
MS,5,2022,2941645.17
MS,6,2022,2940851.08
MS,7,2022,2940057.00
MS,8,2022,2939262.92
MS,9,2022,2938468.83
MS,10,2022,2937674.75
MS,11,2022,2936880.67
MS,12,2022,2936086.58
NC,1,2018,10324924.00
NC,2,2018,10334372.50
NC,3,2018,10343821.00
NC,4,2018,10353269.50
NC,5,2018,10362718.00
NC,6,2018,10372166.50
NC,7,2018,10381615.00
NC,8,2018,10390487.42
NC,9,2018,10399359.83
NC,10,2018,10408232.25
NC,11,2018,10417104.67
NC,12,2018,10425977.08
NC,1,2019,10434849.50
NC,2,2019,10443721.92
NC,3,2019,10452594.33
NC,4,2019,10461466.75
NC,5,2019,10470339.17
NC,6,2019,10479211.58
NC,7,2019,10488084.00
NC,8,2019,10484864.08
NC,9,2019,10481644.17
NC,10,2019,10478424.25
NC,11,2019,10475204.33
NC,12,2019,10471984.42
NC,1,2020,10468764.50
NC,2,2020,10465544.58
NC,3,2020,10462324.67
NC,4,2020,10459104.75
NC,5,2020,10455884.83
NC,6,2020,10452664.92
NC,7,2020,10449445.00
NC,8,2020,10459148.33
NC,9,2020,10468851.67
NC,10,2020,10478555.00
NC,11,2020,10488258.33
NC,12,2020,10497961.67
NC,1,2021,10507665.00
NC,2,2021,10517368.33
NC,3,2021,10527071.67
NC,4,2021,10536775.00
NC,5,2021,10546478.33
NC,6,2021,10556181.67
NC,7,2021,10565885.00
NC,8,2021,10576975.67
NC,9,2021,10588066.33
NC,10,2021,10599157.00
NC,11,2021,10610247.67
NC,12,2021,10621338.33
NC,1,2022,10632429.00
NC,2,2022,10643519.67
NC,3,2022,10654610.33
NC,4,2022,10665701.00
NC,5,2022,10676791.67
NC,6,2022,10687882.33
NC,7,2022,10698973.00
NC,8,2022,10710063.67
NC,9,2022,10721154.33
NC,10,2022,10732245.00
NC,11,2022,10743335.67
NC,12,2022,10754426.33
NE,1,2018,1920780.50
NE,2,2018,1921586.08
NE,3,2018,1922391.67
NE,4,2018,1923197.25
NE,5,2018,1924002.83
NE,6,2018,1924808.42
NE,7,2018,1925614.00
NE,8,2018,1926346.83
NE,9,2018,1927079.67
NE,10,2018,1927812.50
NE,11,2018,1928545.33
NE,12,2018,1929278.17
NE,1,2019,1930011.00
NE,2,2019,1930743.83
NE,3,2019,1931476.67
NE,4,2019,1932209.50
NE,5,2019,1932942.33
NE,6,2019,1933675.17
NE,7,2019,1934408.00
NE,8,2019,1936760.83
NE,9,2019,1939113.67
NE,10,2019,1941466.50
NE,11,2019,1943819.33
NE,12,2019,1946172.17
NE,1,2020,1948525.00
NE,2,2020,1950877.83
NE,3,2020,1953230.67
NE,4,2020,1955583.50
NE,5,2020,1957936.33
NE,6,2020,1960289.17
NE,7,2020,1962642.00
NE,8,2020,1962718.00
NE,9,2020,1962794.00
NE,10,2020,1962870.00
NE,11,2020,1962946.00
NE,12,2020,1963022.00
NE,1,2021,1963098.00
NE,2,2021,1963174.00
NE,3,2021,1963250.00
NE,4,2021,1963326.00
NE,5,2021,1963402.00
NE,6,2021,1963478.00
NE,7,2021,1963554.00
NE,8,2021,1963918.08
